GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Klojang Check,org.klojang.check,CommonExceptions,28,119,0,0,5,24,7,28,7,28
Klojang Check,org.klojang.check,Check,11,244,3,45,3,49,5,42,2,21
Klojang Check,org.klojang.check,CommonChecks,11,484,1,59,4,93,3,153,2,124
Klojang Check,org.klojang.check,CorruptCheckException,0,4,0,0,0,2,0,1,0,1
Klojang Check,org.klojang.check,IntCheck,0,760,0,44,0,136,0,82,0,60
Klojang Check,org.klojang.check,ObjectCheck,11,643,2,28,3,108,3,73,1,60
Klojang Check,org.klojang.check,ObjectCheckHelper2,4,837,1,65,1,181,1,55,0,23
Klojang Check,org.klojang.check,IntCheckHelper1,0,538,0,44,0,114,0,38,0,16
Klojang Check,org.klojang.check,Tag,6,0,0,0,2,0,1,0,1,0
Klojang Check,org.klojang.check,ObjectCheckHelper1,0,534,0,44,0,110,0,38,0,16
Klojang Check,org.klojang.check,CommonProperties,0,436,0,24,0,76,0,66,0,54
Klojang Check,org.klojang.check,IntCheckHelper2,34,534,3,41,5,123,3,35,0,16
Klojang Check,org.klojang.check.extra,Result,0,169,1,35,0,32,1,35,0,18
Klojang Check,org.klojang.check.extra,DuplicateValueException.Usage,0,25,0,0,0,5,0,2,0,2
Klojang Check,org.klojang.check.extra,DuplicateValueException,0,65,0,0,0,18,0,8,0,8
Klojang Check,org.klojang.check.extra,Emptyable,0,7,0,2,0,1,0,2,0,1
Klojang Check,org.klojang.check.types,ComposableIntPredicate,1,605,5,129,0,35,5,131,0,69
Klojang Check,org.klojang.check.types,Quantifier,0,27,0,0,0,7,0,4,0,4
Klojang Check,org.klojang.check.types,Private,3,82,0,6,1,8,1,12,1,8
Klojang Check,org.klojang.check.types,ComposablePredicate,2,551,5,117,0,32,5,119,0,63
Klojang Check,org.klojang.check.types,ObjIntRelation,2,18,1,1,0,2,1,4,0,4
Klojang Check,org.klojang.check.types,Compose,6,77,0,6,2,9,1,19,1,16
Klojang Check,org.klojang.check.types,IntRelation,0,20,0,2,0,2,0,5,0,4
Klojang Check,org.klojang.check.types,Relation,8,12,0,2,1,1,2,3,2,2
Klojang Check,org.klojang.check.types,IntObjRelation,8,12,0,2,1,1,2,3,2,2
